Title,Price (£),Rating,Availability,Link
Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
Sophie's World,15.94,5,In stock,https://books.toscrape.com/sophies-world_966/index.html
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,https://books.toscrape.com/untitled-collection-sabbath-poems-2014_953/index.html
This One Summer,19.49,4,In stock,https://books.toscrape.com/this-one-summer_947/index.html
Thirst,17.27,5,In stock,https://books.toscrape.com/thirst_946/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,https://books.toscrape.com/princess-between-worlds-wide-awake-princess-5_919/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,https://books.toscrape.com/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
First and First (Five Boroughs #3),15.97,4,In stock,https://books.toscrape.com/first-and-first-five-boroughs-3_893/index.html
Camp Midnight,17.08,4,In stock,https://books.toscrape.com/camp-midnight_886/index.html
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,In stock,https://books.toscrape.com/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
The Stranger,17.44,4,In stock,https://books.toscrape.com/the-stranger_861/index.html
Something More Than This,16.24,4,In stock,https://books.toscrape.com/something-more-than-this_834/index.html
Poems That Make Grown Women Cry,14.19,4,In stock,https://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html
Dark Notes,19.19,5,In stock,https://books.toscrape.com/dark-notes_800/index.html
Batman: The Dark Knight Returns (Batman),15.38,5,In stock,https://books.toscrape.com/batman-the-dark-knight-returns-batman_792/index.html
Agnostic: A Spirited Manifesto,12.51,5,In stock,https://books.toscrape.com/agnostic-a-spirited-manifesto_786/index.html
Walt Disney's Alice in Wonderland,12.96,5,In stock,https://books.toscrape.com/walt-disneys-alice-in-wonderland_777/index.html
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,https://books.toscrape.com/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,https://books.toscrape.com/old-school-diary-of-a-wimpy-kid-10_723/index.html
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,https://books.toscrape.com/lady-midnight-the-dark-artifices-1_707/index.html
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,https://books.toscrape.com/i-am-pilgrim-pilgrim-1_703/index.html
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,https://books.toscrape.com/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html
Greek Mythic History,10.23,5,In stock,https://books.toscrape.com/greek-mythic-history_698/index.html
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock,https://books.toscrape.com/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html
Eight Hundred Grapes,14.39,4,In stock,https://books.toscrape.com/eight-hundred-grapes_690/index.html
Dear Mr. Knightley,11.21,5,In stock,https://books.toscrape.com/dear-mr-knightley_684/index.html
City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,https://books.toscrape.com/city-of-fallen-angels-the-mortal-instruments-4_677/index.html
The Epidemic (The Program 0.6),14.44,5,In stock,https://books.toscrape.com/the-epidemic-the-program-06_636/index.html
One with You (Crossfire #5),15.71,4,In stock,https://books.toscrape.com/one-with-you-crossfire-5_626/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,In stock,https://books.toscrape.com/the-sleep-revolution-transforming-your-life-one-night-at-a-time_608/index.html
"Mother, Can You Not?",16.89,5,In stock,https://books.toscrape.com/mother-can-you-not_599/index.html
A Gentleman's Position (Society of Gentlemen #3),14.75,5,In stock,https://books.toscrape.com/a-gentlemans-position-society-of-gentlemen-3_584/index.html
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,4,In stock,https://books.toscrape.com/the-moosewood-cookbook-recipes-from-moosewood-restaurant-ithaca-new-york_574/index.html
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,4,In stock,https://books.toscrape.com/nano-what-now-finding-your-editing-process-revising-your-nanowrimo-book-and-building-a-writing-career-through-publishing-and-beyond_566/index.html
Roller Girl,14.1,5,In stock,https://books.toscrape.com/roller-girl_540/index.html
History of Beauty,10.29,4,In stock,https://books.toscrape.com/history-of-beauty_521/index.html
The Origin of Species,10.01,4,In stock,https://books.toscrape.com/the-origin-of-species_499/index.html
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,In stock,https://books.toscrape.com/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html
Life of Pi,13.22,4,In stock,https://books.toscrape.com/life-of-pi_475/index.html
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,In stock,https://books.toscrape.com/every-heart-a-doorway-every-heart-a-doorway-1_465/index.html
